bubble sort;
x; y
8;12
16;69
32;254
64;979
128;3944
256;16267
512;63595
1024;253450
2048;1069378
4096;4283310
8192;16701722
16384;66976286
32768;265876359
65536;1063457702
;
sinking sort;
x; y
8;13
16;63
32;206
64;924
128;4305
256;16718
512;66072
1024;254877
2048;1058237
4096;4173636
8192;16318475
16384;66025923
32768;265903580
65536;1060772243
;
shaker sort;
x; y
8;17
16;50
32;283
64;953
128;4130
256;17511
512;67664
1024;256878
2048;1031425
4096;4192005
8192;16502199
16384;66876911
32768;266093723
65536;1063694849
